Fecha,Casos
01-01-2022,195
02-01-2022,201
03-01-2022,1145
04-01-2022,1520
05-01-2022,1956
06-01-2022,2356
07-01-2022,2732
08-01-2022,1131
09-01-2022,1090
10-01-2022,5223
11-01-2022,4871
12-01-2022,5084
13-01-2022,4898
14-01-2022,4885
15-01-2022,1918
16-01-2022,1474
17-01-2022,6536
18-01-2022,6028
19-01-2022,5675
20-01-2022,4738
21-01-2022,3477
22-01-2022,1366
23-01-2022,918
24-01-2022,4849
25-01-2022,3957
26-01-2022,3188
27-01-2022,2523
28-01-2022,2095
29-01-2022,905
30-01-2022,866
31-01-2022,2604
01-02-2022,1658
02-02-2022,1426
03-02-2022,1048
04-02-2022,658
05-02-2022,330
06-02-2022,202
07-02-2022,315
08-02-2022,757
09-02-2022,647
10-02-2022,536
11-02-2022,509
12-02-2022,210
13-02-2022,112
14-02-2022,449
15-02-2022,281
16-02-2022,307
17-02-2022,325
18-02-2022,227
19-02-2022,102
20-02-2022,62
21-02-2022,261
22-02-2022,218
23-02-2022,199
24-02-2022,156
25-02-2022,126
26-02-2022,45
27-02-2022,41
28-02-2022,145
01-03-2022,90
02-03-2022,90
03-03-2022,97
04-03-2022,68
05-03-2022,29
06-03-2022,26
07-03-2022,64
08-03-2022,70
09-03-2022,51
10-03-2022,28
11-03-2022,22
12-03-2022,16
13-03-2022,15
14-03-2022,63
15-03-2022,47
16-03-2022,39
17-03-2022,44
18-03-2022,50
19-03-2022,13
20-03-2022,13
21-03-2022,20
22-03-2022,66
23-03-2022,35
24-03-2022,38
25-03-2022,21
26-03-2022,10
27-03-2022,7
28-03-2022,31
29-03-2022,28
30-03-2022,35
31-03-2022,24
01-04-2022,19
02-04-2022,5
03-04-2022,4
04-04-2022,14
05-04-2022,16
06-04-2022,24
07-04-2022,14
08-04-2022,23
09-04-2022,4
10-04-2022,7
11-04-2022,21
12-04-2022,12
13-04-2022,9
14-04-2022,9
15-04-2022,11
16-04-2022,5
17-04-2022,6
18-04-2022,20
19-04-2022,11
20-04-2022,6
21-04-2022,4
22-04-2022,4
